vehicle_id,time,detected_vehicles,missed_detection,false_positive,collision_detected
494,4.96,1,0,0,0
474,4.96,1,0,0,0
482,4.96,1,0,0,0
480,4.96,1,1,0,0
500,4.97,1,0,0,0
485,4.97,1,0,0,0
490,5.88,0,0,0,0
472,5.88,1,0,0,0
492,5.88,0,0,0,0
479,5.88,1,0,0,0
497,5.88,2,0,1,0
501,5.88,0,0,0,0
476,5.88,0,0,0,0
477,5.88,0,0,0,0
489,5.88,1,0,0,0
481,5.88,2,0,0,0
493,5.88,0,0,0,0
495,7.81,0,0,1,0
487,7.81,0,0,0,0
498,7.81,0,0,0,0
484,9.0,1,0,1,0
475,10.05,2,1,0,0
486,11.95,1,1,0,0
478,13.64,0,0,0,0
473,13.64,2,1,0,0
499,13.64,0,0,0,0
491,14.81,1,0,0,0
483,16.1,0,0,0,0
488,16.1,0,0,0,0
496,16.1,0,0,0,1
494,16.12,0,0,0,0
474,16.12,3,0,0,0
482,16.12,0,0,0,0
480,16.12,0,0,0,0
500,16.13,1,1,0,0
485,18.0,1,1,1,0
490,18.0,3,1,0,0
472,19.72,3,2,0,0
492,19.72,5,1,0,0
479,20.59,0,0,0,0
497,22.07,0,0,0,0
501,22.07,4,2,0,0
476,22.07,0,0,0,0
477,22.07,2,0,0,0
489,22.07,1,0,0,0
481,22.07,5,1,0,0
493,22.07,0,0,1,0
495,22.07,0,0,0,0
487,22.07,7,3,0,0
498,22.07,1,0,0,0
484,22.07,0,0,0,0
475,23.59,1,1,0,0
486,24.92,3,1,0,0
478,24.92,0,0,0,0
473,26.83,0,0,0,0
499,28.45,0,0,1,0
491,29.48,0,0,0,0
483,29.48,1,1,1,0
488,31.26,1,1,0,0
496,31.26,0,0,0,1
494,31.28,3,1,0,0
474,31.28,3,1,1,0
482,31.28,1,0,0,0
480,32.35,0,0,0,0
500,32.35,1,0,0,0
485,34.34,1,0,0,0
490,36.11,0,0,0,0
472,36.11,0,0,0,0
492,36.11,0,0,0,0
479,37.93,0,0,0,0
497,37.93,0,0,0,0
501,37.93,0,0,0,0
476,37.93,0,0,1,0
477,39.29,0,0,0,0
489,39.29,2,0,1,0
481,41.31,2,0,0,0
493,41.31,0,0,0,0
495,41.31,2,0,0,0
487,41.31,1,0,0,0
498,41.31,2,1,0,0
484,41.31,2,0,0,0
475,41.31,0,0,0,0
486,43.32,5,2,0,0
478,43.32,0,0,1,0
473,44.38,1,0,0,0
499,44.38,0,0,0,0
491,44.38,0,0,0,0
483,45.82,2,1,1,0
488,46.94,0,0,1,0
496,46.94,0,0,0,1
494,46.96,6,2,0,0
474,46.96,2,1,1,0
482,48.09,0,0,0,0
480,48.09,0,0,1,0
500,48.09,0,0,0,0
485,48.09,1,0,0,0
490,48.09,0,0,0,0
472,49.48,0,0,0,0
492,49.48,0,0,1,0
479,49.48,0,0,0,0
497,49.48,0,0,0,0
501,49.48,0,0,0,0
476,49.48,0,0,1,0
477,49.48,2,0,0,0
489,49.48,1,0,0,0
481,49.48,0,0,0,0
493,49.48,0,0,0,0
495,50.07,3,0,0,0
487,50.07,2,0,0,0
498,50.07,3,0,0,0
484,50.07,0,0,1,0
475,51.56,0,0,0,0
486,51.56,2,0,0,0
478,52.21,0,0,0,0
473,52.21,5,1,0,0
499,52.21,0,0,0,0
491,53.34,2,0,1,0
483,53.34,2,0,0,0
488,54.31,1,0,0,0
496,54.31,0,0,0,1
494,55.84,1,0,0,0
474,55.84,0,0,0,0
482,55.84,0,0,0,0
480,57.27,0,0,0,0
500,57.27,2,0,0,0
485,57.28,0,0,1,0
490,57.8,2,0,0,0
472,59.34,1,0,1,0
492,59.88,2,1,0,0
479,61.03,1,0,0,0
497,61.03,2,0,0,0
501,61.03,0,0,0,0
476,61.03,0,0,0,0
477,61.03,1,0,0,0
489,61.03,0,0,0,0
481,61.03,0,0,0,0
493,61.03,0,0,0,0
495,61.03,1,0,0,0
487,61.03,1,0,0,0
498,61.03,0,0,0,0
484,61.03,0,0,0,0
475,61.04,0,0,0,0
486,61.04,2,1,0,0
478,61.04,0,0,0,0
473,61.04,3,1,0,0
499,61.04,0,0,0,0
491,62.32,0,0,0,0
483,62.32,2,1,0,0
488,62.33,1,0,0,0
496,62.9,0,0,0,1
